;company;industry;symbol;category;market_cap;current_value;high_52week;low_52week;book_value;price_earnings;dividend_yield;roce;roe;sales_growth_3yr
176;JSW Energy Ltd.;ENERGY;JSWENERGY;Nifty Midcap 150;10781.0;65.7;97.5;56.0;64.4;66.72;0.0;6.53;-4.78;-12.57
177;Jindal Steel & Power Ltd.;METALS;JINDALSTEL;Nifty Midcap 150;17888.0;184.8;294.15;156.5;235.47;38.25;0.0;4.44;-0.07;9.65
178;Jubilant Foodworks Ltd.;CONSUMER GOODS;JUBLFOOD;Nifty Midcap 150;14254.0;1080.0;1575.0;795.3;87.56;49.76;0.23;33.21;21.87;12.84
179;Jubilant Life Sciences Ltd.;PHARMA;JUBILANT;Nifty Midcap 150;11188.0;702.35;1039.0;603.0;144.13;38.88;0.43;13.57;12.28;1.39
180;KIOCL Ltd.;METALS;KIOCL;Nifty Midcap 150;10384.0;163.65;506.45;136.0;33.82;144.8;0.65;2.84;2.91;43.26
181;KRBL Ltd.;CONSUMER GOODS;KRBL;Nifty Midcap 150;7960.0;338.15;673.0;296.4;105.04;16.65;0.68;23.17;22.25;1.95
182;Kansai Nerolac Paints Ltd.;CONSUMER GOODS;KANSAINER;Nifty Midcap 150;21010.0;389.85;608.0;343.4;59.7;42.63;0.67;25.14;16.64;9.77
183;L&T Technology Services Ltd.;IT;LTTS;Nifty Midcap 150;17396.0;1673.0;1852.5;815.1;187.81;28.88;0.94;38.98;28.0;11.05
184;Larsen & Toubro Infotech Ltd.;IT;LTI;Nifty Midcap 150;29513.0;1703.0;1990.0;802.0;220.35;22.02;1.25;42.07;32.96;13.33
185;Mahanagar Gas Ltd.;ENERGY;MGL;Nifty Midcap 150;8338.0;844.15;1345.0;757.0;212.13;17.3;2.25;36.89;24.29;2.15
186;Mahindra & Mahindra Financial Services Ltd.;FINANCIAL SERVICES;M&MFIN;Nifty Midcap 150;26598.0;430.55;537.5;351.0;161.55;19.21;0.92;9.75;11.3;8.7
187;Mahindra CIE Automotive Ltd.;INDUSTRIAL MANUFACTURING;MAHINDCIE;Nifty Midcap 150;9943.0;262.6;301.8;199.2;94.7;70.1;0.0;3.65;2.1;6.08
188;Manappuram Finance Ltd.;FINANCIAL SERVICES;MANAPPURAM;Nifty Midcap 150;6987.0;82.9;130.45;66.4;45.26;10.22;2.41;14.0;19.65;14.01
189;Mangalore Refinery & Petrochemicals Ltd.;ENERGY;MRPL;Nifty Midcap 150;14494.0;82.7;140.0;61.25;62.95;6.07;3.63;20.45;21.4;-5.53
190;Max Financial Services Ltd.;FINANCIAL SERVICES;MFSL;Nifty Midcap 150;10929.0;407.15;610.0;343.95;73.82;82.85;0.0;6.46;6.46;-26.72
191;MindTree Ltd.;IT;MINDTREE;Nifty Midcap 150;13200.0;803.95;1181.9;473.0;189.7;18.25;1.37;27.7;22.9;14.5
192;Motilal Oswal Financial Services Ltd.;FINANCIAL SERVICES;MOTILALOFS;Nifty Midcap 150;9973.0;685.2;1585.0;549.75;169.73;38.19;1.24;23.33;26.59;114.0
193;MphasiS Ltd.;IT;MPHASIS;Nifty Midcap 150;18389.0;950.75;1278.0;687.2;185.95;23.8;2.1;21.71;17.42;2.66
194;Muthoot Finance Ltd.;FINANCIAL SERVICES;MUTHOOTFIN;Nifty Midcap 150;17465.0;436.4;518.0;356.55;193.91;9.39;2.29;16.65;24.1;12.62
195;NATCO Pharma Ltd.;PHARMA;NATCOPHARM;Nifty Midcap 150;14305.0;774.75;1061.95;637.4;169.28;18.12;1.06;34.18;28.62;42.97
196;NBCC (India) Ltd.;CONSTRUCTION;NBCC;Nifty Midcap 150;10593.0;58.85;145.88;51.0;10.12;30.68;0.94;28.84;19.09;10.29
197;NLC India Ltd.;ENERGY;NLCINDIA;Nifty Midcap 150;12473.0;81.6;119.75;65.0;87.24;11.97;5.51;13.99;14.81;11.81
198;National Aluminium Co. Ltd.;METALS;NATIONALUM;Nifty Midcap 150;13395.0;69.3;96.65;56.55;54.35;10.32;8.23;11.56;6.94;8.8
199;Oberoi Realty Ltd.;CONSTRUCTION;OBEROIRLTY;Nifty Midcap 150;15539.0;427.35;609.4;351.75;162.77;29.64;0.44;12.44;9.73;11.69
200;PC Jeweller Ltd.;CONSUMER GOODS;PCJEWELLER;Nifty Midcap 150;3481.0;88.2;600.65;46.9;99.48;6.07;0.57;25.07;16.93;14.32
201;PI Industries Ltd.;FERTILISERS & PESTICIDES;PIIND;Nifty Midcap 150;11041.0;800.6;1035.0;691.8;146.94;30.49;0.5;25.3;20.81;5.49
202;PNB Housing Finance Ltd.;FINANCIAL SERVICES;PNBHOUSING;Nifty Midcap 150;14590.0;871.25;1475.0;694.0;376.6;16.56;1.03;9.48;13.98;45.79
203;Page Industries Ltd.;TEXTILES;PAGEIND;Nifty Midcap 150;32664.0;29295.0;36335.95;17280.0;759.91;84.6;0.45;64.15;45.88;18.24
204;Pfizer Ltd.;PHARMA;PFIZER;Nifty Midcap 150;13350.0;2918.0;3840.0;1723.1;586.52;33.82;0.69;21.48;14.11;2.04
205;Phoenix Mills Ltd.;CONSTRUCTION;PHOENIXLTD;Nifty Midcap 150;8787.0;573.6;725.0;480.0;167.65;55.5;0.45;8.18;6.19;8.19
206;Power Finance Corporation Ltd.;FINANCIAL SERVICES;PFC;Nifty Midcap 150;24711.0;93.6;148.15;67.6;144.97;4.69;8.33;10.04;15.34;2.19
207;Prestige Estates Projects Ltd.;CONSTRUCTION;PRESTIGE;Nifty Midcap 150;7052.0;188.05;356.1;163.75;108.35;32.39;0.64;5.54;4.81;6.9
208;Punjab National Bank;FINANCIAL SERVICES;PNB;Nifty Midcap 150;21223.0;69.05;211.95;58.65;121.65;;0.0;1.87;-32.44;1.2
209;Quess Corp Ltd.;SERVICES;QUESS;Nifty Midcap 150;10983.0;751.8;1300.0;678.0;168.69;55.09;0.0;9.96;14.0;22.95
210;RBL Bank Ltd.;FINANCIAL SERVICES;RBLBANK;Nifty Midcap 150;22212.0;522.3;652.0;438.8;157.15;30.1;0.4;6.95;11.53;32.15
211;REC Ltd.;FINANCIAL SERVICES;RECLTD;Nifty Midcap 150;23452.0;118.75;183.95;89.1;179.71;4.87;7.71;9.51;13.51;3.23
212;Rajesh Exports Ltd.;CONSUMER GOODS;RAJESHEXPO;Nifty Midcap 150;16834.0;570.05;872.3;544.0;140.54;37.95;0.18;8.39;11.18;-3.89
213;Reliance Capital Ltd.;FINANCIAL SERVICES;RELCAPITAL;Nifty Midcap 150;6395.0;253.05;626.3;221.85;560.64;8.47;4.35;8.6;5.96;-5.91
214;Reliance Infrastructure Ltd.;ENERGY;RELINFRA;Nifty Midcap 150;9874.0;375.45;589.8;274.5;835.95;7.45;2.53;11.27;5.34;-4.8
215;Reliance Nippon Life Asset Management Ltd.;FINANCIAL SERVICES;RNAM;Nifty Midcap 150;10217.0;166.95;334.45;143.1;40.0;20.39;3.59;34.5;24.65;23.02
216;Reliance Power Ltd.;ENERGY;RPOWER;Nifty Midcap 150;8794.0;31.35;65.2;23.55;65.22;;0.0;1.66;0.01;-31.24
217;SJVN Ltd.;ENERGY;SJVN;Nifty Midcap 150;11043.0;28.1;40.15;24.95;27.21;10.35;7.47;12.67;10.71;-7.48
218;SKF India Ltd.;INDUSTRIAL MANUFACTURING;SKFINDIA;Nifty Midcap 150;9188.0;1790.0;2010.0;1610.0;375.59;28.46;0.67;24.43;16.21;4.45
219;SRF Ltd.;TEXTILES;SRF;Nifty Midcap 150;11259.0;1959.0;2443.0;1531.0;623.47;25.2;0.62;11.37;12.3;8.23
220;Sanofi India Ltd.;PHARMA;SANOFI;Nifty Midcap 150;13612.0;5910.0;6840.05;4250.0;896.53;36.08;1.2;26.45;16.72;7.6
221;Shriram City Union Finance Ltd.;FINANCIAL SERVICES;SHRIRAMCIT;Nifty Midcap 150;10346.0;1568.0;2454.05;1480.05;884.3;13.77;1.15;11.18;12.55;13.06
222;Solar Industries India Ltd.;CHEMICALS;SOLARINDS;Nifty Midcap 150;9008.0;995.45;1320.0;941.05;86.31;56.54;0.6;23.96;18.74;8.14
223;Sterlite Technologies Ltd.;TELECOM;STRTECH;Nifty Midcap 150;15066.0;374.55;414.5;255.6;28.64;39.96;0.53;22.61;26.36;-1.85
224;Sun Pharma Advanced Research Company Ltd.;PHARMA;SPARC;Nifty Midcap 150;7535.0;294.35;532.4;282.0;7.22;;0.0;-195.0;-199.0;-20.5
225;Sundaram Finance Ltd.;FINANCIAL SERVICES;SUNDARMFIN;Nifty Midcap 150;16314.0;1468.0;1945.3;1340.05;385.01;29.63;0.82;10.63;13.81;4.46
226;Sundram Fasteners Ltd.;AUTOMOBILE;SUNDRMFAST;Nifty Midcap 150;11193.0;532.75;688.0;470.0;82.66;27.76;0.86;26.99;25.31;12.49
227;Supreme Industries Ltd.;INDUSTRIAL MANUFACTURING;SUPREMEIND;Nifty Midcap 150;12656.0;996.35;1489.95;945.9;136.43;26.62;1.2;33.55;24.87;5.29
228;Symphony Ltd.;CONSUMER GOODS;SYMPHONY;Nifty Midcap 150;7093.0;1014.0;2212.75;811.85;86.25;46.88;0.44;48.26;34.47;14.08
229;Syngene International Ltd.;PHARMA;SYNGENE;Nifty Midcap 150;11494.0;574.7;699.8;491.75;79.02;37.03;0.17;15.78;18.34;18.28
230;TI Financial Holdings Ltd.;FINANCIAL SERVICES;TIFIN;Nifty Midcap 150;9198.0;490.05;740.0;468.25;55.59;141.37;0.25;6.18;5.98;-74.37
231;TV18 Broadcast Ltd.;MEDIA & ENTERTAINMENT;TV18BRDCST;Nifty Midcap 150;6523.0;38.05;70.9;32.0;22.24;77.74;0.0;4.13;2.57;6.69
232;TVS Motor Company Ltd.;AUTOMOBILE;TVSMOTOR;Nifty Midcap 150;26294.0;553.45;794.9;478.7;67.87;38.79;0.6;24.09;24.44;14.64
233;Tata Chemicals Ltd.;CHEMICALS;TATACHEM;Nifty Midcap 150;17735.0;696.15;786.95;623.5;433.0;9.11;3.16;7.52;5.12;-29.95
234;Tata Global Beverages Ltd.;CONSUMER GOODS;TATAGLOBAL;Nifty Midcap 150;13737.0;217.65;328.8;205.75;68.15;30.29;1.15;14.92;10.93;3.71
235;Tata Power Co. Ltd.;ENERGY;TATAPOWER;Nifty Midcap 150;20556.0;76.0;101.75;59.9;57.19;15.23;1.71;8.11;7.11;-2.8
236;The Ramco Cements Ltd.;CEMENT & CEMENT PRODUCTS;RAMCOCEM;Nifty Midcap 150;14214.0;603.35;878.95;546.3;178.12;30.19;0.5;16.39;14.3;6.53
237;Thermax Ltd.;INDUSTRIAL MANUFACTURING;THERMAX;Nifty Midcap 150;12293.0;1032.0;1375.0;878.05;215.31;46.53;0.58;15.96;10.22;-5.63
238;Thomas Cook (India) Ltd.;SERVICES;THOMASCOOK;Nifty Midcap 150;7861.0;212.15;302.9;193.1;46.63;65.69;0.18;2.51;7.68;56.04
239;Torrent Pharmaceuticals Ltd.;PHARMA;TORNTPHARM;Nifty Midcap 150;27593.0;1631.0;1871.95;1206.0;281.29;43.18;0.86;9.28;9.78;6.75
240;Torrent Power Ltd.;ENERGY;TORNTPOWER;Nifty Midcap 150;12321.0;256.35;306.95;212.1;180.54;11.85;1.95;13.19;11.96;3.89
241;Trent Ltd.;CONSUMER GOODS;TRENT;Nifty Midcap 150;10880.0;327.4;391.75;290.0;49.41;90.04;0.35;11.55;7.91;15.99
242;Union Bank of India;FINANCIAL SERVICES;UNIONBANK;Nifty Midcap 150;8852.0;75.75;184.25;61.4;194.72;;0.0;3.67;-23.96;0.69
243;United Breweries Ltd.;CONSUMER GOODS;UBL;Nifty Midcap 150;33279.0;1259.0;1464.2;908.0;101.68;73.3;0.16;22.1;15.71;6.18
244;V-Guard Industries Ltd.;INDUSTRIAL MANUFACTURING;VGUARD;Nifty Midcap 150;8319.0;194.95;254.9;159.1;18.74;61.21;0.36;25.78;19.29;10.12
245;Vakrangee Ltd.;IT;VAKRANGEE;Nifty Midcap 150;2488.0;23.5;515.4;23.5;24.29;7.74;1.06;42.19;28.54;31.97
246;Varun Beverages Ltd.;CONSUMER GOODS;VBL;Nifty Midcap 150;13806.0;755.95;849.0;486.0;144.12;43.54;0.33;12.5;10.69;14.9
247;Voltas Ltd.;CONSTRUCTION;VOLTAS;Nifty Midcap 150;18149.0;548.5;675.0;471.0;106.2;38.14;0.73;21.06;15.52;3.97
248;WABCO India Ltd.;AUTOMOBILE;WABCOINDIA;Nifty Midcap 150;12618.0;6655.0;8480.0;5999.95;804.79;43.01;0.12;25.69;18.29;24.0
249;Whirlpool of India Ltd.;CONSUMER GOODS;WHIRLPOOL;Nifty Midcap 150;17268.0;1361.0;1858.85;1248.0;155.8;44.64;0.29;33.29;21.41;14.14
250;8K Miles Soft Services Ltd.;IT;8KMILES;Nifty Smallcap 250;203.55;66.7;1024.0;55.0;25.62;24.41;0.0;10.85;5.71;59.81
251;APL Apollo Tubes Ltd.;METALS;APLAPOLLO;Nifty Smallcap 250;2911.0;1227.0;2587.0;1160.7;381.63;25.2;1.14;15.57;13.16;28.01
252;Aarti Industries Ltd.;CHEMICALS;AARTIIND;Nifty Smallcap 250;11244.0;1383.0;1434.95;851.0;207.1;29.05;0.07;16.3;22.4;9.05
253;Advanced Enzyme Tech Ltd.;CONSUMER GOODS;ADVENZYMES;Nifty Smallcap 250;2138.0;191.5;323.35;166.1;27.2;47.4;0.21;15.07;13.19;19.31
254;Aegis Logistics Ltd.;ENERGY;AEGISCHEM;Nifty Smallcap 250;7343.0;219.85;300.0;174.65;23.02;76.23;0.57;11.69;13.22;13.41
255;Akzo Nobel India Ltd.;CONSUMER GOODS;AKZOINDIA;Nifty Smallcap 250;7082.0;1555.0;1999.0;1471.0;283.05;17.69;1.45;40.11;33.44;3.64
256;Allahabad Bank;FINANCIAL SERVICES;ALBK;Nifty Smallcap 250;6195.0;42.9;83.85;33.25;42.77;;0.0;2.15;-57.27;-6.03
257;Allcargo Logistics Ltd.;SERVICES;ALLCARGO;Nifty Smallcap 250;2493.0;101.45;228.8;91.7;53.6;44.67;1.97;5.37;3.16;1.69
258;Andhra Bank;FINANCIAL SERVICES;ANDHRABANK;Nifty Smallcap 250;4982.0;28.65;68.8;25.2;57.41;;0.0;2.74;-33.3;3.17
259;Ashoka Buildcon Ltd.;CONSTRUCTION;ASHOKA;Nifty Smallcap 250;3331.0;118.65;196.73;93.15;68.62;13.38;0.45;16.83;12.96;7.55
260;Aster DM Healthcare Ltd.;HEALTHCARE SERVICES;ASTERDM;Nifty Smallcap 250;7876.0;155.9;194.0;140.1;57.91;;0.0;-1.22;-3.85;115.0
261;Atul Ltd.;CHEMICALS;ATUL;Nifty Smallcap 250;9911.0;3342.0;3460.0;2380.0;809.63;26.85;0.36;19.0;13.13;7.02
262;BASF India Ltd.;CHEMICALS;BASF;Nifty Smallcap 250;6931.0;1601.0;2430.0;1588.1;314.69;81.38;0.19;9.34;9.88;5.87
263;BEML Ltd.;INDUSTRIAL MANUFACTURING;BEML;Nifty Smallcap 250;2869.0;688.9;1812.95;521.0;488.1;47.08;1.16;8.29;5.91;4.93
264;BSE Ltd.;FINANCIAL SERVICES;BSE;Nifty Smallcap 250;3236.0;624.85;;;535.7;13.93;5.92;11.47;11.6;14.9
265;Bajaj Corp Ltd.;CONSUMER GOODS;BAJAJCORP;Nifty Smallcap 250;5205.0;352.85;525.0;342.0;41.44;24.1;3.4;52.95;42.64;0.69
266;Bajaj Electricals Ltd;CONSUMER GOODS;BAJAJELEC;Nifty Smallcap 250;5101.0;498.55;706.35;361.45;96.3;31.88;0.7;19.55;12.97;3.61
267;Balmer Lawrie & Co. Ltd.;SERVICES;BALMLAWRIE;Nifty Smallcap 250;2227.0;195.35;302.0;175.0;110.16;11.49;5.12;21.77;15.26;-14.28
268;Balrampur Chini Mills Ltd.;CONSUMER GOODS;BALRAMCHIN;Nifty Smallcap 250;2500.0;109.45;170.75;58.8;76.58;13.65;2.28;12.83;13.89;13.28
269;Bharat Dynamics Ltd.;INDUSTRIAL MANUFACTURING;BDL;Nifty Smallcap 250;5304.0;289.4;428.0;260.0;106.74;8.88;2.99;37.4;25.44;17.32
270;Birla Corporation Ltd.;CEMENT & CEMENT PRODUCTS;BIRLACORPN;Nifty Smallcap 250;4591.0;596.1;1290.0;521.0;533.39;36.36;1.09;5.29;3.77;5.08
271;Bliss GVS Pharma Ltd.;PHARMA;BLISSGVS;Nifty Smallcap 250;1864.0;180.8;230.0;161.0;56.95;20.99;0.55;15.42;10.9;-1.64
272;Blue Star Ltd.;CONSUMER GOODS;BLUESTARCO;Nifty Smallcap 250;5485.0;569.5;845.0;507.3;97.74;40.71;1.75;16.98;13.6;12.75
273;Bombay Burmah Trading Corporation Ltd.;CONSUMER GOODS;BBTC;Nifty Smallcap 250;9523.0;1365.0;2113.85;1082.05;41.69;;0.07;-1.93;-12.59;-4.76
274;Bombay Dyeing & Manufacturing Co. Ltd.;TEXTILES;BOMDYEING;Nifty Smallcap 250;2494.0;120.75;321.6;82.35;30.83;21.69;0.83;19.46;39.36;3.86
275;Brigade Enterprises Ltd.;CONSTRUCTION;BRIGADE;Nifty Smallcap 250;2400.0;176.3;324.65;157.1;171.02;11.23;1.13;11.18;8.67;8.12
276;CARE Ratings Ltd.;FINANCIAL SERVICES;CARERATING;Nifty Smallcap 250;3158.0;1072.0;1551.0;1005.0;186.13;21.17;5.13;41.29;28.6;7.73
277;CCL Products (I) Ltd.;CONSUMER GOODS;CCL;Nifty Smallcap 250;3567.0;268.15;354.6;225.05;45.62;34.38;0.93;20.46;17.27;7.01
278;CG Power and Industrial Solutions Ltd.;INDUSTRIAL MANUFACTURING;CGPOWER;Nifty Smallcap 250;2344.0;37.4;99.0;34.6;61.28;18.93;0.0;7.0;1.31;3.26
279;Can Fin Homes Ltd.;FINANCIAL SERVICES;CANFINHOME;Nifty Smallcap 250;3657.0;274.65;557.35;217.0;110.06;11.89;0.73;10.2;24.9;23.68
280;Capital First Ltd.;FINANCIAL SERVICES;CAPF;Nifty Smallcap 250;4733.0;477.75;902.0;437.25;283.04;13.52;0.59;9.19;12.88;36.52
281;Caplin Point Laboratories Ltd.;PHARMA;CAPLIPOINT;Nifty Smallcap 250;3284.0;434.4;718.0;336.4;46.83;28.28;0.46;58.32;40.81;21.09
282;Carborundum Universal Ltd.;INDUSTRIAL MANUFACTURING;CARBORUNIV;Nifty Smallcap 250;6848.0;362.25;428.0;314.35;64.63;39.74;0.62;18.57;12.92;10.72
283;Ceat Ltd.;AUTOMOBILE;CEATLTD;Nifty Smallcap 250;4791.0;1184.0;2030.0;983.8;657.4;13.7;0.97;16.8;12.19;3.83
284;Central Depository Services (India) Ltd.;FINANCIAL SERVICES;CDSL;Nifty Smallcap 250;2557.0;244.7;;;47.51;33.52;1.43;22.04;16.09;22.78
285;Century Plyboards (India) Ltd.;CONSUMER GOODS;CENTURYPLY;Nifty Smallcap 250;3982.0;179.25;364.1;150.1;37.72;23.72;0.56;17.08;20.07;7.93
286;Cera Sanitaryware Ltd;CONSTRUCTION;CERA;Nifty Smallcap 250;3185.0;2449.0;4300.0;2300.0;465.14;31.12;0.49;25.83;17.03;12.89
287;Chambal Fertilizers & Chemicals Ltd.;FERTILISERS & PESTICIDES;CHAMBLFERT;Nifty Smallcap 250;6037.0;145.05;209.45;128.25;68.81;12.1;1.31;11.32;17.24;-5.63
288;Chennai Petroleum Corporation Ltd.;ENERGY;CHENNPETRO;Nifty Smallcap 250;4080.0;274.0;476.9;221.2;248.97;5.46;6.76;20.87;25.46;-8.07
289;Cochin Shipyard Ltd.;INDUSTRIAL MANUFACTURING;COCHINSHIP;Nifty Smallcap 250;5292.0;389.3;598.9;356.0;243.32;11.52;3.08;22.07;14.86;14.15
290;Coffee Day Enterprises Ltd.;CONSUMER GOODS;COFFEEDAY;Nifty Smallcap 250;5716.0;270.6;374.6;214.4;88.8;;0.0;2.26;-3.34;67.5
291;Cyient Ltd.;IT;CYIENT;Nifty Smallcap 250;6999.0;619.2;887.0;520.0;196.86;15.01;2.09;26.18;19.98;3.62
292;D.B.Corp Ltd.;MEDIA & ENTERTAINMENT;DBCORP;Nifty Smallcap 250;2882.0;164.8;389.0;152.85;99.67;10.32;0.64;27.15;18.41;5.04
293;DCB Bank Ltd.;FINANCIAL SERVICES;DCBBANK;Nifty Smallcap 250;4925.0;159.25;206.5;139.5;82.65;18.64;0.47;7.07;10.91;19.26
294;DCM Shriram Ltd.;CONSUMER GOODS;DCMSHRIRAM;Nifty Smallcap 250;6396.0;402.5;628.05;222.55;201.94;9.44;2.09;25.54;24.09;7.36
295;Deepak Fertilisers & Petrochemicals Corp. Ltd.;CHEMICALS;DEEPAKFERT;Nifty Smallcap 250;1841.0;208.7;499.8;181.95;183.2;17.86;2.87;6.84;7.07;-4.92
296;Delta Corp Ltd.;SERVICES;DELTACORP;Nifty Smallcap 250;6740.0;248.75;401.3;198.1;67.37;45.19;0.4;11.04;7.17;24.63
297;Den Networks Ltd.;MEDIA & ENTERTAINMENT;DEN;Nifty Smallcap 250;1336.0;68.25;149.55;45.1;41.38;;0.0;1.86;-2.45;7.93
298;Dena Bank;FINANCIAL SERVICES;DENABANK;Nifty Smallcap 250;3581.0;15.85;28.8;13.75;35.9;;0.0;2.69;-26.16;-6.03
299;Dishman Carbogen Amcis Ltd.;PHARMA;DCAL;Nifty Smallcap 250;3692.0;228.75;396.55;202.6;293.09;69.08;0.0;1.8;0.75;
300;Dixon Technologies (India) Ltd.;CONSUMER GOODS;DIXON;Nifty Smallcap 250;2424.0;2140.0;4490.85;2041.0;290.81;42.61;0.0;33.15;23.15;25.61
301;Dr. Lal Path Labs Ltd.;HEALTHCARE SERVICES;LALPATHLAB;Nifty Smallcap 250;7396.0;887.45;1120.0;789.0;93.52;42.34;0.51;37.53;24.62;17.17
302;Dredging Corporation of India Ltd.;SERVICES;DREDGECORP;Nifty Smallcap 250;911.4;325.5;920.0;286.6;551.46;56.86;0.61;1.41;0.66;-6.96
303;E.I.D. Parry (India) Ltd.;FERTILISERS & PESTICIDES;EIDPARRY;Nifty Smallcap 250;3945.0;222.9;391.95;177.0;92.55;17.51;1.35;10.39;11.82;-2.63
304;Elgi Equipments Ltd.;INDUSTRIAL MANUFACTURING;ELGIEQUIP;Nifty Smallcap 250;4193.0;264.6;350.0;225.6;38.83;51.24;0.45;17.65;13.76;9.68
305;Equitas Holdings Ltd.;FINANCIAL SERVICES;EQUITAS;Nifty Smallcap 250;3811.0;111.7;173.4;78.0;51.92;416.91;0.0;0.5;0.32;15.01
306;Eris Lifesciences Ltd.;PHARMA;ERIS;Nifty Smallcap 250;9300.0;676.3;896.0;566.0;63.13;32.58;0.0;35.04;40.31;11.55
307;Eros Intl Media Ltd.;MEDIA & ENTERTAINMENT;EROSMEDIA;Nifty Smallcap 250;849.82;89.35;259.85;61.65;157.13;8.41;0.0;10.41;5.52;-12.92
308;Eveready Industries India Ltd.;CONSUMER GOODS;EVEREADY;Nifty Smallcap 250;1382.0;190.15;465.0;175.5;47.37;23.22;0.79;18.64;16.03;4.43
309;Excel Crop Care Ltd.;FERTILISERS & PESTICIDES;EXCELCROP;Nifty Smallcap 250;4305.0;3914.0;4800.0;1850.0;536.56;46.47;0.22;25.52;17.02;4.9
310;FDC Ltd.;PHARMA;FDC;Nifty Smallcap 250;3525.0;202.1;319.0;182.95;72.38;18.54;0.0;19.07;13.65;6.57
311;Finolex Industries Ltd.;INDUSTRIAL MANUFACTURING;FINPIPE;Nifty Smallcap 250;6706.0;540.4;723.0;463.4;216.56;17.28;1.85;16.88;11.67;3.4
312;Firstsource Solutions Ltd.;IT;FSL;Nifty Smallcap 250;4092.0;59.25;83.85;36.0;29.98;22.12;2.52;10.13;9.02;-1.97
313;Future Lifestyle Fashions Ltd.;CONSUMER GOODS;FLFL;Nifty Smallcap 250;7286.0;374.6;481.0;334.95;79.71;62.04;0.31;13.33;9.41;11.64
314;GE Power India Ltd.;INDUSTRIAL MANUFACTURING;GEPIL;Nifty Smallcap 250;5553.0;825.95;1048.0;639.0;123.57;38.13;0.36;26.31;-3.4;-14.28
315;GHCL Ltd.;CHEMICALS;GHCL;Nifty Smallcap 250;2116.0;215.95;357.5;189.5;175.39;7.22;2.3;18.88;24.53;7.24
316;GVK Power & Infrastructures Ltd.;CONSTRUCTION;GVKPIL;Nifty Smallcap 250;1271.0;8.05;27.85;6.7;10.96;20.77;0.0;3.96;0.65;-14.3
317;Galaxy Surfactants Ltd.;CHEMICALS;GALAXYSURF;Nifty Smallcap 250;4230.0;1193.0;1742.8;1121.0;187.81;29.12;0.59;21.79;18.23;4.58
318;Gateway Distriparks Ltd.;SERVICES;GDL;Nifty Smallcap 250;1447.0;133.1;274.9;131.0;63.35;34.06;5.26;6.9;4.89;5.93
319;Gayatri Projects Ltd.;CONSTRUCTION;GAYAPROJ;Nifty Smallcap 250;3447.0;184.15;227.5;151.5;59.99;17.83;0.0;14.37;20.16;22.07
320;Godfrey Phillips India Ltd.;CONSUMER GOODS;GODFRYPHLP;Nifty Smallcap 250;4117.0;791.8;1079.75;640.45;342.85;18.79;1.01;12.64;8.87;-3.66
321;Granules India Ltd.;PHARMA;GRANULES;Nifty Smallcap 250;2571.0;101.15;150.5;71.75;52.28;17.32;0.99;12.71;12.87;10.73
322;Great Eastern Shipping Co. Ltd.;SERVICES;GESHIP;Nifty Smallcap 250;4686.0;310.8;482.4;266.1;310.46;;2.32;4.61;2.25;5.93
323;Greaves Cotton Ltd.;INDUSTRIAL MANUFACTURING;GREAVESCOT;Nifty Smallcap 250;2906.0;119.0;165.0;111.1;41.14;16.43;4.62;25.94;17.73;2.0
324;Greenply Industries Ltd.;CONSUMER GOODS;GREENPLY;Nifty Smallcap 250;1681.0;137.05;401.05;110.0;74.62;13.04;0.44;14.65;16.37;2.42
325;Grindwell Norton Ltd.;INDUSTRIAL MANUFACTURING;GRINDWELL;Nifty Smallcap 250;5486.0;495.45;589.85;460.0;90.19;33.14;1.01;22.79;15.07;8.17
326;Gujarat Alkalies & Chemicals Ltd.;CHEMICALS;GUJALKALI;Nifty Smallcap 250;4344.0;591.55;932.35;433.75;520.51;6.98;1.1;18.33;13.95;8.01
327;Gujarat Fluorochemicals Ltd.;INDUSTRIAL MANUFACTURING;GUJFLUORO;Nifty Smallcap 250;9732.0;885.5;934.0;722.4;316.57;23.49;0.4;13.42;11.34;15.88
328;Gujarat Mineral Development Corporation Ltd.;METALS;GMDCLTD;Nifty Smallcap 250;2762.0;86.85;177.0;81.35;131.52;6.68;4.03;13.34;10.38;13.22
329;Gujarat Narmada Valley Fertilizers and Chemicals Ltd.;CHEMICALS;GNFC;Nifty Smallcap 250;5918.0;380.8;547.0;315.55;303.04;5.7;1.97;23.81;18.97;7.94
330;Gujarat Pipavav Port Ltd.;SERVICES;GPPL;Nifty Smallcap 250;4755.0;98.35;168.4;97.65;41.73;23.65;3.46;15.26;9.85;-9.21
331;Gujarat State Fertilizers & Chemicals Ltd.;FERTILISERS & PESTICIDES;GSFC;Nifty Smallcap 250;4626.0;116.1;166.3;85.6;180.18;7.11;1.9;6.9;6.88;5.69
332;Gulf Oil Lubricants India Ltd.;ENERGY;GULFOILLUB;Nifty Smallcap 250;3612.0;725.4;1098.5;618.0;93.88;21.97;1.44;40.25;38.57;11.25
333;HCL Infosystems Ltd.;IT;HCL-INSYS;Nifty Smallcap 250;882.28;26.8;69.55;21.15;14.77;;0.0;2.72;-14.69;-11.88
334;HSIL Ltd.;CONSUMER GOODS;HSIL;Nifty Smallcap 250;1857.0;256.9;564.35;219.0;202.16;35.18;1.56;6.61;5.4;7.37
