;company;industry;symbol;category;market_cap;current_value;high_52week;low_52week;book_value;price_earnings;dividend_yield;roce;roe;sales_growth_3yr
410;NIIT Technologies Ltd.;IT;NIITTECH;Nifty Smallcap 250;7317.0;1188.0;1425.0;606.0;250.99;27.74;1.26;19.8;16.1;6.93
411;Narayana Hrudayalaya Ltd.;HEALTHCARE SERVICES;NH;Nifty Smallcap 250;4989.0;244.15;320.5;206.0;55.58;146.36;0.0;8.87;5.43;12.21
412;National Fertilizers Ltd.;FERTILISERS & PESTICIDES;NFL;Nifty Smallcap 250;1761.0;35.9;79.65;32.1;42.84;7.53;0.0;8.86;9.82;1.55
413;Nava Bharat Ventures Ltd.;ENERGY;NBVENTURES;Nifty Smallcap 250;2219.0;124.25;184.2;108.1;158.76;11.45;1.21;8.36;5.97;4.31
414;Navin Fluorine International Ltd.;CHEMICALS;NAVINFLUOR;Nifty Smallcap 250;3202.0;647.6;878.75;582.0;203.55;19.92;1.54;27.08;18.41;16.94
415;Navkar Corporation Ltd.;SERVICES;NAVKARCORP;Nifty Smallcap 250;1002.0;66.55;218.85;65.25;115.25;11.67;0.0;7.19;6.36;9.21
416;Network18 Media & Investments Ltd.;MEDIA & ENTERTAINMENT;NETWORK18;Nifty Smallcap 250;4381.0;41.85;64.0;39.3;18.74;;0.0;0.48;-2.38;-1.81
417;Nilkamal Ltd.;INDUSTRIAL MANUFACTURING;NILKAMAL;Nifty Smallcap 250;2359.0;1581.0;2133.3;1495.0;561.15;19.26;0.82;23.23;15.65;5.1
418;Omaxe Ltd.;CONSTRUCTION;OMAXE;Nifty Smallcap 250;3902.0;213.35;235.15;202.95;105.23;76.33;0.33;8.66;3.34;10.84
419;Orient Cement Ltd.;CEMENT & CEMENT PRODUCTS;ORIENTCEM;Nifty Smallcap 250;1838.0;89.7;183.8;80.7;49.88;86.25;0.84;8.58;4.43;12.83
420;Oriental Bank of Commerce;FINANCIAL SERVICES;ORIENTBANK;Nifty Smallcap 250;4993.0;78.9;146.2;58.1;164.07;;0.0;2.87;-50.96;-4.48
421;PNC Infratech Ltd.;CONSTRUCTION;PNCINFRA;Nifty Smallcap 250;3579.0;139.5;228.4;122.7;70.43;11.05;0.36;13.64;14.34;5.95
422;PTC India Fin Serv Ltd.;FINANCIAL SERVICES;PFS;Nifty Smallcap 250;995.54;15.5;44.1;13.9;36.43;696.18;1.29;6.81;1.04;14.05
423;PTC India Ltd.;ENERGY;PTC;Nifty Smallcap 250;2341.0;79.1;128.1;64.6;108.77;7.43;5.06;14.55;10.05;11.79
424;PVR Ltd.;MEDIA & ENTERTAINMENT;PVR;Nifty Smallcap 250;6517.0;1394.0;1567.5;1064.55;239.34;47.57;0.14;14.97;12.11;17.52
425;Parag Milk Foods Ltd.;CONSUMER GOODS;PARAGMILK;Nifty Smallcap 250;2171.0;258.05;414.95;223.0;91.13;21.5;0.29;14.99;11.6;10.4
426;Persistent Systems Ltd.;IT;PERSISTENT;Nifty Smallcap 250;4482.0;560.25;915.0;540.0;272.1;12.36;1.78;22.54;16.97;11.72
427;Phillips Carbon Black Ltd.;CHEMICALS;PHILIPCARB;Nifty Smallcap 250;3982.0;231.05;318.98;157.4;88.65;11.84;1.04;17.38;18.39;1.03
428;Praj Industries Ltd.;INDUSTRIAL MANUFACTURING;PRAJIND;Nifty Smallcap 250;1972.0;108.3;131.5;72.5;37.86;51.49;1.49;4.64;3.63;-4.55
429;Prism Johnson Ltd.;CEMENT & CEMENT PRODUCTS;PRSMJOHNSN;Nifty Smallcap 250;4452.0;88.45;158.95;74.9;21.31;28.76;0.0;11.48;7.05;-1.12
430;Radico Khaitan Ltd;CONSUMER GOODS;RADICO;Nifty Smallcap 250;5298.0;397.45;500.0;195.0;91.7;31.9;0.25;14.38;11.38;8.67
431;Rain Industries Ltd;CHEMICALS;RAIN;Nifty Smallcap 250;6280.0;186.7;475.5;148.65;27.25;106.69;1.07;4.26;3.48;97.58
432;Rallis India Ltd.;FERTILISERS & PESTICIDES;RALLIS;Nifty Smallcap 250;3277.0;168.5;289.4;165.5;62.52;21.4;1.48;16.76;12.27;0.13
433;Ramkrishna Forgings Ltd.;INDUSTRIAL MANUFACTURING;RKFORGE;Nifty Smallcap 250;1907.0;585.05;891.0;528.0;250.46;15.56;0.17;13.71;15.43;24.57
434;Rashtriya Chemicals & Fertilizers Ltd.;FERTILISERS & PESTICIDES;RCF;Nifty Smallcap 250;3415.0;61.9;111.5;54.8;53.1;32.64;0.97;4.26;2.66;-1.76
435;Raymond Ltd.;TEXTILES;RAYMOND;Nifty Smallcap 250;4657.0;758.65;1151.7;593.55;214.24;71.29;0.4;7.91;4.44;4.42
436;Redington (India) Ltd.;SERVICES;REDINGTON;Nifty Smallcap 250;3445.0;86.1;210.05;78.45;41.5;22.52;2.79;15.5;11.04;8.28
437;Relaxo Footwears Ltd.;CONSUMER GOODS;RELAXO;Nifty Smallcap 250;9533.0;792.1;874.0;532.5;68.77;53.84;0.19;29.63;23.51;10.74
438;Reliance Communications Ltd.;TELECOM;RCOM;Nifty Smallcap 250;3899.0;14.1;41.77;9.55;33.69;;0.0;-18.27;-57.75;-42.81
439;Reliance Home Finance Ltd.;FINANCIAL SERVICES;RHFL;Nifty Smallcap 250;2166.0;44.65;104.5;35.8;38.76;9.58;2.24;10.21;12.15;48.27
440;Reliance Naval and Engineering Ltd.;INDUSTRIAL MANUFACTURING;RNAVAL;Nifty Smallcap 250;1044.0;14.15;72.6;11.0;-6.61;;0.0;-3.08;-114.0;-26.12
441;Repco Home Finance Ltd.;FINANCIAL SERVICES;REPCOHOME;Nifty Smallcap 250;2533.0;404.95;739.0;292.5;212.32;11.42;0.54;10.6;16.72;16.94
442;Rupa & Company Ltd.;TEXTILES;RUPA;Nifty Smallcap 250;2379.0;299.1;512.7;246.65;64.25;24.88;1.0;27.01;19.84;5.13
443;S H Kelkar and Company Ltd.;CONSUMER GOODS;SHK;Nifty Smallcap 250;2665.0;184.3;313.5;166.0;41.67;42.52;0.95;16.54;10.87;13.12
444;SREI Infrastructure Finance Ltd.;FINANCIAL SERVICES;SREINFRA;Nifty Smallcap 250;1778.0;35.35;118.2;25.4;58.88;14.22;1.41;9.19;4.23;-2.28
445;Sadbhav Engineering Ltd.;CONSTRUCTION;SADBHAV;Nifty Smallcap 250;3617.0;210.8;438.85;190.0;108.81;15.82;0.47;11.82;12.27;5.68
446;Sadbhav Infrastructure Project Ltd.;CONSTRUCTION;SADBHIN;Nifty Smallcap 250;3728.0;105.85;157.5;91.1;39.8;51.73;4.72;10.13;5.13;68.9
447;Schaeffler India Ltd.;INDUSTRIAL MANUFACTURING;SCHAEFFLER;Nifty Smallcap 250;8390.0;5048.0;5960.0;4599.0;1020.0;19.91;0.34;22.95;14.99;5.98
448;Security and Intelligence Services (India) Ltd.;SERVICES;SIS;Nifty Smallcap 250;6450.0;879.75;1404.8;780.2;88.07;72.57;0.4;16.48;17.82;27.34
449;Shankara Building Products Ltd.;METALS;SHANKARA;Nifty Smallcap 250;2521.0;1104.0;2365.0;985.45;138.59;64.19;0.29;17.5;12.68;9.34
450;Shilpa Medicare Ltd.;PHARMA;SHILPAMED;Nifty Smallcap 250;3213.0;394.05;685.0;357.95;141.91;21.45;0.18;12.03;11.32;9.45
451;Shipping Corporation of India Ltd.;SERVICES;SCI;Nifty Smallcap 250;2119.0;45.5;110.9;39.55;152.37;;0.0;1.26;3.77;-6.07
452;Shoppers Stop Ltd.;CONSUMER GOODS;SHOPERSTOP;Nifty Smallcap 250;4223.0;479.95;690.0;455.0;105.47;66.3;0.16;12.02;0.56;8.36
453;Shree Renuka Sugars Ltd.;CONSUMER GOODS;RENUKA;Nifty Smallcap 250;2540.0;13.25;18.88;9.69;2.28;;0.0;-10.9;-54.21;0.54
454;Sintex Plastics Technology Ltd.;INDUSTRIAL MANUFACTURING;SPTL;Nifty Smallcap 250;1606.0;25.45;95.4;25.3;12.96;351.42;0.0;0.6;0.6;
455;Sobha Ltd.;CONSTRUCTION;SOBHA;Nifty Smallcap 250;4295.0;452.85;687.0;380.5;275.93;22.34;1.55;9.95;7.54;2.92
456;Sonata Software Ltd.;IT;SONATSOFTW;Nifty Smallcap 250;3246.0;308.6;428.75;182.6;45.99;19.01;3.36;41.25;31.45;13.82
457;South Indian Bank Ltd.;FINANCIAL SERVICES;SOUTHBANK;Nifty Smallcap 250;2660.0;14.7;34.75;12.45;27.63;8.25;2.72;6.15;6.97;5.42
458;Star Cement Ltd.;CEMENT & CEMENT PRODUCTS;STARCEMENT;Nifty Smallcap 250;4402.0;105.0;151.35;85.0;20.0;19.28;0.95;21.56;28.75;9.54
459;Strides Pharma Science Ltd.;PHARMA;STAR;Nifty Smallcap 250;3760.0;419.85;875.73;334.1;346.52;4.26;0.48;23.52;28.82;16.5
460;Sudarshan Chemical Industries Ltd.;CHEMICALS;SUDARSCHEM;Nifty Smallcap 250;2598.0;375.25;633.8;300.2;81.27;26.82;0.93;19.82;21.16;7.13
461;Sunteck Realty Ltd.;CONSTRUCTION;SUNTECK;Nifty Smallcap 250;5092.0;348.05;526.0;295.65;109.53;35.4;0.43;9.26;9.66;23.62
462;Suven Life Sciences Ltd.;PHARMA;SUVEN;Nifty Smallcap 250;3008.0;236.3;337.7;163.3;68.09;17.93;0.63;25.09;17.94;6.28
463;Suzlon Energy Ltd.;INDUSTRIAL MANUFACTURING;SUZLON;Nifty Smallcap 250;3351.0;6.3;17.15;5.05;0.66;;0.0;7.69;-95.22;39.52
464;Swan Energy Ltd.;TEXTILES;SWANENERGY;Nifty Smallcap 250;2484.0;101.7;235.0;94.1;39.38;24.08;0.1;2.39;-0.14;1.76
465;Syndicate Bank;FINANCIAL SERVICES;SYNDIBANK;Nifty Smallcap 250;4868.0;34.35;95.65;29.55;94.49;;0.0;3.57;-24.81;0.25
466;TTK Prestige Ltd.;CONSUMER GOODS;TTKPRESTIG;Nifty Smallcap 250;7881.0;6823.0;8911.2;5500.0;912.01;46.26;0.44;24.38;17.48;10.06
467;TV Today Network Ltd.;MEDIA & ENTERTAINMENT;TVTODAY;Nifty Smallcap 250;2368.0;396.9;557.95;341.95;130.21;16.69;0.57;29.82;19.52;13.19
468;TVS Srichakra Ltd.;AUTOMOBILE;TVSSRICHAK;Nifty Smallcap 250;1979.0;2583.0;4020.0;2251.0;854.13;14.8;1.55;21.61;19.14;4.32
469;Take Solutions Ltd.;IT;TAKE;Nifty Smallcap 250;2270.0;153.45;308.3;141.7;54.29;40.67;1.04;2.44;2.35;-54.49
470;Tamil Nadu Newsprint & Papers Ltd.;PAPER;TNPL;Nifty Smallcap 250;1884.0;272.2;499.0;223.1;231.63;26.28;1.84;5.06;-2.55;13.2
471;Tata Coffee Ltd.;CONSUMER GOODS;TATACOFFEE;Nifty Smallcap 250;1815.0;97.2;183.45;91.8;49.46;38.57;1.54;7.75;6.05;0.97
472;Tata Elxsi Ltd.;IT;TATAELXSI;Nifty Smallcap 250;6522.0;1047.0;1491.75;841.75;129.54;22.83;1.05;56.53;37.2;17.74
473;Tata Investment Corporation Ltd.;FINANCIAL SERVICES;TATAINVEST;Nifty Smallcap 250;3895.0;706.85;955.0;654.0;1417.0;20.47;2.83;11.29;9.48;10.27
474;Tata Sponge Iron Ltd.;METALS;TATASPONGE;Nifty Smallcap 250;1246.0;809.2;1248.0;775.0;669.87;8.0;2.47;23.06;15.22;0.44
475;Teamlease Services Ltd.;SERVICES;TEAMLEASE;Nifty Smallcap 250;4535.0;2652.0;3338.85;1597.15;216.42;54.93;0.0;16.37;16.65;25.06
476;Texmaco Rail & Eng. Ltd.;INDUSTRIAL MANUFACTURING;TEXRAIL;Nifty Smallcap 250;1365.0;62.05;128.8;54.0;48.35;29.46;0.4;4.26;0.89;28.33
477;Thyrocare Technologies Ltd.;HEALTHCARE SERVICES;THYROCARE;Nifty Smallcap 250;2946.0;548.45;725.0;547.7;84.48;29.97;1.82;34.52;22.3;22.59
478;Time Technoplast Ltd.;INDUSTRIAL MANUFACTURING;TIMETECHNO;Nifty Smallcap 250;2682.0;118.6;232.6;109.15;55.35;22.43;0.67;11.5;9.39;10.41
479;Timken India Ltd.;INDUSTRIAL MANUFACTURING;TIMKEN;Nifty Smallcap 250;3965.0;527.1;1008.0;510.0;93.37;38.97;0.17;20.95;13.93;10.03
480;Trident Ltd.;TEXTILES;TRIDENT;Nifty Smallcap 250;3417.0;67.05;103.45;51.0;59.43;11.69;2.24;9.05;9.37;6.91
481;Tube Investments of India Ltd.;AUTOMOBILE;TIINDIA;Nifty Smallcap 250;5522.0;294.25;324.0;211.0;70.2;29.7;0.59;14.54;12.96;
482;UCO Bank;FINANCIAL SERVICES;UCOBANK;Nifty Smallcap 250;7277.0;18.4;36.75;15.3;18.9;;0.0;4.23;-52.97;-10.2
483;UFLEX Ltd.;INDUSTRIAL MANUFACTURING;UFLEX;Nifty Smallcap 250;2184.0;302.5;506.75;245.4;293.32;29.76;0.66;7.48;4.85;5.34
484;Ujjivan Financial Services Ltd.;FINANCIAL SERVICES;UJJIVAN;Nifty Smallcap 250;2624.0;216.85;432.05;166.8;144.97;;0.23;0.17;0.02;-76.74
485;Unichem Laboratories Ltd.;PHARMA;UNICHEMLAB;Nifty Smallcap 250;1522.0;216.3;382.0;182.0;385.79;0.61;2.31;-6.08;-5.59;-15.03
486;V-Mart Retail Ltd.;CONSUMER GOODS;VMART;Nifty Smallcap 250;5039.0;2780.0;3298.0;1192.0;202.62;68.61;0.07;34.55;24.93;19.28
487;V.I.P. Industries Ltd.;CONSUMER GOODS;VIPIND;Nifty Smallcap 250;6649.0;470.5;645.05;276.35;33.4;47.29;0.64;41.82;27.26;11.48
488;VRL Logistics Ltd.;SERVICES;VRLLOG;Nifty Smallcap 250;2473.0;273.75;492.0;248.5;70.72;30.14;0.0;21.59;16.29;4.74
489;Va Tech Wabag Ltd.;SERVICES;WABAG;Nifty Smallcap 250;1500.0;274.45;650.0;247.6;167.72;13.49;1.46;19.19;13.46;14.6
490;Vardhman Textiles Ltd.;TEXTILES;VTL;Nifty Smallcap 250;6037.0;1051.0;1565.1;922.0;806.33;10.93;1.43;10.87;10.8;0.7
491;Venky's (India) Ltd.;CONSUMER GOODS;VENKEYS;Nifty Smallcap 250;3977.0;2823.0;4711.25;1788.0;511.92;18.17;0.28;36.17;32.06;15.82
492;Vijaya Bank;FINANCIAL SERVICES;VIJAYABANK;Nifty Smallcap 250;5634.0;43.2;76.5;40.35;75.43;9.86;2.78;5.69;8.48;0.85
493;Vinati Organics Ltd.;CHEMICALS;VINATIORGA;Nifty Smallcap 250;7706.0;1500.0;1624.0;760.05;174.75;36.19;0.3;27.52;19.5;-1.24
494;Welspun Corp Ltd.;METALS;WELCORP;Nifty Smallcap 250;3712.0;139.95;197.0;103.3;72.08;86.42;0.36;9.9;5.54;1.76
495;Welspun India Ltd.;TEXTILES;WELSPUNIND;Nifty Smallcap 250;6114.0;60.85;82.5;48.9;24.85;20.05;1.07;9.49;13.02;4.27
496;Wockhardt Ltd.;PHARMA;WOCKPHARMA;Nifty Smallcap 250;5658.0;511.2;1012.0;437.1;116.97;36.47;0.0;8.54;5.46;9.51
497;Zensar Technolgies Ltd.;IT;ZENSARTECH;Nifty Smallcap 250;5828.0;258.9;352.4;145.98;60.43;24.51;0.93;22.29;16.15;5.99
498;Zydus Wellness Ltd.;CONSUMER GOODS;ZYDUSWELL;Nifty Smallcap 250;4611.0;1180.0;1830.0;875.8;184.39;33.12;0.68;20.57;21.09;6.43
499;eClerx Services Ltd.;IT;ECLERX;Nifty Smallcap 250;4147.0;1072.0;1608.0;1000.0;297.04;17.84;0.09;31.07;23.91;11.81
